task,implant_type,model_type,architecture,accuracy
emotion,12_10,pointy,convnext_tiny.in12k_ft_in1k,0.7166666666666667
emotion,12_10,pointy,convnextv2_tiny.fcmae,0.5708333333333333
emotion,12_10,pointy,efficientnet_b0.ra_in1k,0.6125
emotion,12_10,pointy,efficientnet_b3.ra2_in1k,0.5708333333333333
emotion,12_10,pointy,mobilenetv2_100.ra_in1k,0.5375000000000001
emotion,12_10,pointy,regnety_040.ra3_in1k,0.6291666666666667
emotion,12_10,pointy,regnety_064.ra3_in1k,0.625
emotion,12_10,pointy,regnety_080.ra3_in1k,0.6666666666666667
emotion,12_10,pointy,resnet101.a1h_in1k,0.5291666666666667
emotion,12_10,pointy,resnet18.a1_in1k,0.5416666666666666
emotion,12_10,pointy,resnet18d.ra2_in1k,0.5708333333333333
emotion,12_10,pointy,resnet50.a1_in1k,0.5458333333333334
emotion,12_10,pointy,resnet50.a1h_in1k,0.6041666666666666
emotion,12_10,pointy,resnet50d.a1_in1k,0.5541666666666667
emotion,12_10,pointy,vgg11_bn.tv_in1k,0.6
emotion,12_10,pointy,vgg13_bn.tv_in1k,0.6333333333333333
emotion,12_10,pointy,vgg16_bn.tv_in1k,0.6833333333333333
emotion,12_10,pointy,vgg19_bn.tv_in1k,0.675
emotion,12_10,pointy,vit_base_patch16_224.augreg2_in21k_ft_in1k,0.6041666666666666
emotion,12_10,pointy,vit_base_patch16_224.dino,0.6000000000000001
emotion,12_10,pointy,vit_base_patch16_224.mae,0.6458333333333334
emotion,12_10,pointy,vit_base_patch16_clip_224.openai,0.5875
emotion,12_10,pointy,vit_base_patch8_224.dino,0.6791666666666667
emotion,12_10,pointy,vit_small_patch16_224.dino,0.6541666666666667
emotion,12_10,streaky,convnext_nano.in12k,0.675
emotion,12_10,streaky,convnext_nano.in12k_ft_in1k,0.6666666666666666
emotion,12_10,streaky,convnext_small.in12k,0.7083333333333333
emotion,12_10,streaky,convnext_tiny.in12k,0.6125
emotion,12_10,streaky,convnext_tiny.in12k_ft_in1k,0.6291666666666667
emotion,12_10,streaky,convnextv2_tiny.fcmae,0.5
emotion,12_10,streaky,efficientnet_b0.ra_in1k,0.6041666666666666
emotion,12_10,streaky,efficientnet_b3.ra2_in1k,0.5958333333333333
emotion,12_10,streaky,mobilenetv2_100.ra_in1k,0.6208333333333333
emotion,12_10,streaky,regnety_040.ra3_in1k,0.5833333333333334
emotion,12_10,streaky,regnety_064.ra3_in1k,0.6416666666666667
emotion,12_10,streaky,regnety_080.ra3_in1k,0.6583333333333334
emotion,12_10,streaky,resnet101.a1h_in1k,0.5625
emotion,12_10,streaky,resnet18.a1_in1k,0.55
emotion,12_10,streaky,resnet18d.ra2_in1k,0.5583333333333333
emotion,12_10,streaky,resnet50.a1_in1k,0.5
emotion,12_10,streaky,resnet50.a1h_in1k,0.6333333333333333
emotion,12_10,streaky,resnet50d.a1_in1k,0.55
emotion,12_10,streaky,vgg11_bn.tv_in1k,0.6708333333333334
emotion,12_10,streaky,vgg13_bn.tv_in1k,0.6166666666666667
emotion,12_10,streaky,vgg16_bn.tv_in1k,0.6333333333333333
emotion,12_10,streaky,vgg19_bn.tv_in1k,0.6333333333333333
emotion,12_10,streaky,vit_base_patch16_224.augreg2_in21k_ft_in1k,0.5958333333333333
emotion,12_10,streaky,vit_base_patch16_224.dino,0.6541666666666667
emotion,12_10,streaky,vit_base_patch16_224.mae,0.65
emotion,12_10,streaky,vit_base_patch16_clip_224.openai,0.5875
emotion,12_10,streaky,vit_base_patch8_224.dino,0.6083333333333333
emotion,12_10,streaky,vit_small_patch16_224.dino,0.5833333333333334
emotion,12_20,pointy,convnext_nano.in12k,0.6499999999999999
emotion,12_20,pointy,convnext_nano.in12k_ft_in1k,0.6666666666666666
emotion,12_20,pointy,convnext_small.in12k,0.65
emotion,12_20,pointy,convnext_tiny.in12k,0.55
emotion,12_20,pointy,convnext_tiny.in12k_ft_in1k,0.5833333333333333
emotion,12_20,pointy,convnextv2_tiny.fcmae,0.5166666666666667
emotion,12_20,pointy,efficientnet_b0.ra_in1k,0.6083333333333334
emotion,12_20,pointy,efficientnet_b3.ra2_in1k,0.575
emotion,12_20,pointy,mobilenetv2_100.ra_in1k,0.5791666666666666
emotion,12_20,pointy,regnety_040.ra3_in1k,0.5833333333333333
emotion,12_20,pointy,regnety_064.ra3_in1k,0.6416666666666667
emotion,12_20,pointy,regnety_080.ra3_in1k,0.6208333333333333
