task,implant_type,model_type,architecture,run,architecture_family,accuracy,trial_count
doorway,12_10,pointy,regnety_080.ra3_in1k,5,RegNetY,0.9930555555555556,288
doorway,12_10,pointy,regnety_080.ra3_in1k,6,RegNetY,0.9895833333333334,288
doorway,12_10,pointy,regnety_080.ra3_in1k,7,RegNetY,0.9930555555555556,288
doorway,12_10,pointy,regnety_080.ra3_in1k,8,RegNetY,0.9930555555555556,288
doorway,12_10,pointy,regnety_080.ra3_in1k,9,RegNetY,0.9930555555555556,288
doorway,12_10,pointy,regnety_080.ra3_in1k,10,RegNetY,0.9895833333333334,288
doorway,12_10,pointy,regnety_080.ra3_in1k,11,RegNetY,0.9930555555555556,288
doorway,12_10,pointy,regnety_080.ra3_in1k,12,RegNetY,0.9930555555555556,288
doorway,12_10,pointy,resnet101.a1h_in1k,1,ResNet,0.9479166666666666,288
doorway,12_10,pointy,resnet101.a1h_in1k,2,ResNet,0.9444444444444444,288
doorway,12_10,pointy,resnet101.a1h_in1k,3,ResNet,0.9340277777777778,288
doorway,12_10,pointy,resnet101.a1h_in1k,4,ResNet,0.9479166666666666,288
doorway,12_10,pointy,resnet101.a1h_in1k,5,ResNet,0.9444444444444444,288
doorway,12_10,pointy,resnet101.a1h_in1k,6,ResNet,0.9479166666666666,288
doorway,12_10,pointy,resnet101.a1h_in1k,7,ResNet,0.9548611111111112,288
doorway,12_10,pointy,resnet101.a1h_in1k,8,ResNet,0.9513888888888888,288
doorway,12_10,pointy,resnet101.a1h_in1k,9,ResNet,0.9444444444444444,288
doorway,12_10,pointy,resnet101.a1h_in1k,10,ResNet,0.9444444444444444,288
doorway,12_10,pointy,resnet101.a1h_in1k,11,ResNet,0.9548611111111112,288
doorway,12_10,pointy,resnet101.a1h_in1k,12,ResNet,0.9340277777777778,288
doorway,12_10,pointy,resnet18.a1_in1k,1,ResNet,0.96875,288
doorway,12_10,pointy,resnet18.a1_in1k,2,ResNet,0.9652777777777778,288
doorway,12_10,pointy,resnet18.a1_in1k,3,ResNet,0.9652777777777778,288
doorway,12_10,pointy,resnet18.a1_in1k,4,ResNet,0.96875,288
doorway,12_10,pointy,resnet18.a1_in1k,5,ResNet,0.9583333333333334,288
doorway,12_10,pointy,resnet18.a1_in1k,6,ResNet,0.9652777777777778,288
doorway,12_10,pointy,resnet18.a1_in1k,7,ResNet,0.9583333333333334,288
doorway,12_10,pointy,resnet18.a1_in1k,8,ResNet,0.9652777777777778,288
doorway,12_10,pointy,resnet18.a1_in1k,9,ResNet,0.9548611111111112,288
doorway,12_10,pointy,resnet18.a1_in1k,10,ResNet,0.9652777777777778,288
doorway,12_10,pointy,resnet18.a1_in1k,11,ResNet,0.9583333333333334,288
doorway,12_10,pointy,resnet18.a1_in1k,12,ResNet,0.9583333333333334,288
doorway,12_10,pointy,resnet18d.ra2_in1k,1,ResNet,0.9756944444444444,288
doorway,12_10,pointy,resnet18d.ra2_in1k,2,ResNet,0.9791666666666666,288
doorway,12_10,pointy,resnet18d.ra2_in1k,3,ResNet,0.9756944444444444,288
doorway,12_10,pointy,resnet18d.ra2_in1k,4,ResNet,0.9756944444444444,288
doorway,12_10,pointy,resnet18d.ra2_in1k,5,ResNet,0.9861111111111112,288
doorway,12_10,pointy,resnet18d.ra2_in1k,6,ResNet,0.9756944444444444,288
doorway,12_10,pointy,resnet18d.ra2_in1k,7,ResNet,0.9861111111111112,288
doorway,12_10,pointy,resnet18d.ra2_in1k,8,ResNet,0.9861111111111112,288
doorway,12_10,pointy,resnet18d.ra2_in1k,9,ResNet,0.9791666666666666,288
doorway,12_10,pointy,resnet18d.ra2_in1k,10,ResNet,0.9861111111111112,288
doorway,12_10,pointy,resnet18d.ra2_in1k,11,ResNet,0.9861111111111112,288
doorway,12_10,pointy,resnet18d.ra2_in1k,12,ResNet,0.9861111111111112,288
doorway,12_10,pointy,resnet50.a1_in1k,1,ResNet,0.9583333333333334,288
doorway,12_10,pointy,resnet50.a1_in1k,2,ResNet,0.9583333333333334,288
doorway,12_10,pointy,resnet50.a1_in1k,3,ResNet,0.9548611111111112,288
doorway,12_10,pointy,resnet50.a1_in1k,4,ResNet,0.9583333333333334,288
doorway,12_10,pointy,resnet50.a1_in1k,5,ResNet,0.9548611111111112,288
doorway,12_10,pointy,resnet50.a1_in1k,6,ResNet,0.9548611111111112,288
doorway,12_10,pointy,resnet50.a1_in1k,7,ResNet,0.9479166666666666,288
doorway,12_10,pointy,resnet50.a1_in1k,8,ResNet,0.9548611111111112,288
doorway,12_10,pointy,resnet50.a1_in1k,9,ResNet,0.9583333333333334,288
doorway,12_10,pointy,resnet50.a1_in1k,10,ResNet,0.9548611111111112,288
doorway,12_10,pointy,resnet50.a1_in1k,11,ResNet,0.9548611111111112,288
doorway,12_10,pointy,resnet50.a1_in1k,12,ResNet,0.9583333333333334,288
doorway,12_10,pointy,resnet50.a1h_in1k,1,ResNet,0.9895833333333334,288
doorway,12_10,pointy,resnet50.a1h_in1k,2,ResNet,0.9861111111111112,288
doorway,12_10,pointy,resnet50.a1h_in1k,3,ResNet,0.9895833333333334,288
doorway,12_10,pointy,resnet50.a1h_in1k,4,ResNet,0.9895833333333334,288
doorway,12_10,pointy,resnet50.a1h_in1k,5,ResNet,0.9895833333333334,288
doorway,12_10,pointy,resnet50.a1h_in1k,6,ResNet,0.9895833333333334,288
doorway,12_10,pointy,resnet50.a1h_in1k,7,ResNet,0.9826388888888888,288
doorway,12_10,pointy,resnet50.a1h_in1k,8,ResNet,0.9861111111111112,288
doorway,12_10,pointy,resnet50.a1h_in1k,9,ResNet,0.9861111111111112,288
doorway,12_10,pointy,resnet50.a1h_in1k,10,ResNet,0.9895833333333334,288
doorway,12_10,pointy,resnet50.a1h_in1k,11,ResNet,0.9861111111111112,288
doorway,12_10,pointy,resnet50.a1h_in1k,12,ResNet,0.9895833333333334,288
doorway,12_10,pointy,resnet50d.a1_in1k,1,ResNet,0.9583333333333334,288
doorway,12_10,pointy,resnet50d.a1_in1k,2,ResNet,0.9548611111111112,288
doorway,12_10,pointy,resnet50d.a1_in1k,3,ResNet,0.9583333333333334,288
doorway,12_10,pointy,resnet50d.a1_in1k,4,ResNet,0.9583333333333334,288
doorway,12_10,pointy,resnet50d.a1_in1k,5,ResNet,0.9583333333333334,288
doorway,12_10,pointy,resnet50d.a1_in1k,6,ResNet,0.9548611111111112,288
doorway,12_10,pointy,resnet50d.a1_in1k,7,ResNet,0.9618055555555556,288
doorway,12_10,pointy,resnet50d.a1_in1k,8,ResNet,0.9548611111111112,288
doorway,12_10,pointy,resnet50d.a1_in1k,9,ResNet,0.9548611111111112,288
doorway,12_10,pointy,resnet50d.a1_in1k,10,ResNet,0.9583333333333334,288
doorway,12_10,pointy,resnet50d.a1_in1k,11,ResNet,0.9548611111111112,288
doorway,12_10,pointy,resnet50d.a1_in1k,12,ResNet,0.9583333333333334,288
doorway,12_10,pointy,vgg11_bn.tv_in1k,1,VGG,0.9791666666666666,288
doorway,12_10,pointy,vgg11_bn.tv_in1k,2,VGG,0.9756944444444444,288
doorway,12_10,pointy,vgg11_bn.tv_in1k,3,VGG,0.9826388888888888,288
doorway,12_10,pointy,vgg11_bn.tv_in1k,4,VGG,0.9826388888888888,288
doorway,12_10,pointy,vgg11_bn.tv_in1k,5,VGG,0.9791666666666666,288
doorway,12_10,pointy,vgg11_bn.tv_in1k,6,VGG,0.9826388888888888,288
doorway,12_10,pointy,vgg11_bn.tv_in1k,7,VGG,0.9791666666666666,288
doorway,12_10,pointy,vgg11_bn.tv_in1k,8,VGG,0.9791666666666666,288
doorway,12_10,pointy,vgg11_bn.tv_in1k,9,VGG,0.9791666666666666,288
doorway,12_10,pointy,vgg11_bn.tv_in1k,10,VGG,0.9791666666666666,288
doorway,12_10,pointy,vgg11_bn.tv_in1k,11,VGG,0.9791666666666666,288
doorway,12_10,pointy,vgg11_bn.tv_in1k,12,VGG,0.9791666666666666,288
doorway,12_10,pointy,vgg13_bn.tv_in1k,1,VGG,0.9895833333333334,288
doorway,12_10,pointy,vgg13_bn.tv_in1k,2,VGG,0.9895833333333334,288
doorway,12_10,pointy,vgg13_bn.tv_in1k,3,VGG,0.9895833333333334,288
doorway,12_10,pointy,vgg13_bn.tv_in1k,4,VGG,0.9895833333333334,288
doorway,12_10,pointy,vgg13_bn.tv_in1k,5,VGG,0.9895833333333334,288
doorway,12_10,pointy,vgg13_bn.tv_in1k,6,VGG,0.9895833333333334,288
doorway,12_10,pointy,vgg13_bn.tv_in1k,7,VGG,0.9895833333333334,288
doorway,12_10,pointy,vgg13_bn.tv_in1k,8,VGG,0.9895833333333334,288
doorway,12_10,pointy,vgg13_bn.tv_in1k,9,VGG,0.9895833333333334,288
doorway,12_10,pointy,vgg13_bn.tv_in1k,10,VGG,0.9895833333333334,288
doorway,12_10,pointy,vgg13_bn.tv_in1k,11,VGG,0.9895833333333334,288
doorway,12_10,pointy,vgg13_bn.tv_in1k,12,VGG,0.9895833333333334,288
doorway,12_10,pointy,vgg16_bn.tv_in1k,1,VGG,0.9965277777777778,288
doorway,12_10,pointy,vgg16_bn.tv_in1k,2,VGG,0.9965277777777778,288
doorway,12_10,pointy,vgg16_bn.tv_in1k,3,VGG,0.9965277777777778,288
