task,implant_type,model_type,run,accuracy
emotion,6_15,pointy,11,0.5556547619047619
emotion,6_15,pointy,12,0.5901785714285714
emotion,6_15,streaky,1,0.5732142857142857
emotion,6_15,streaky,2,0.5863095238095238
emotion,6_15,streaky,3,0.5717261904761904
emotion,6_15,streaky,4,0.6110119047619048
emotion,6_15,streaky,5,0.5723214285714285
emotion,6_15,streaky,6,0.5839285714285715
emotion,6_15,streaky,7,0.6017857142857143
emotion,6_15,streaky,8,0.5845238095238096
emotion,6_15,streaky,9,0.5922619047619048
emotion,6_15,streaky,10,0.6008928571428571
emotion,6_15,streaky,11,0.6077380952380952
emotion,6_15,streaky,12,0.5877976190476191
emotion,6_20,pointy,1,0.6142857142857143
emotion,6_20,pointy,2,0.5827380952380953
emotion,6_20,pointy,3,0.6077380952380952
emotion,6_20,pointy,4,0.6077380952380952
emotion,6_20,pointy,5,0.6139880952380953
emotion,6_20,pointy,6,0.5952380952380952
emotion,6_20,pointy,7,0.5732142857142857
emotion,6_20,pointy,8,0.6116071428571429
emotion,6_20,pointy,9,0.6038690476190476
emotion,6_20,pointy,10,0.600297619047619
emotion,6_20,pointy,11,0.6288690476190476
emotion,6_20,pointy,12,0.6038690476190476
emotion,6_20,streaky,1,0.5732142857142857
emotion,6_20,streaky,2,0.5651785714285714
emotion,6_20,streaky,3,0.5630952380952381
emotion,6_20,streaky,4,0.5928571428571429
emotion,6_20,streaky,5,0.5797619047619048
emotion,6_20,streaky,6,0.5729166666666666
emotion,6_20,streaky,7,0.5583333333333333
emotion,6_20,streaky,8,0.5666666666666667
emotion,6_20,streaky,9,0.5613095238095238
emotion,6_20,streaky,10,0.5639880952380952
emotion,6_20,streaky,11,0.5660714285714286
emotion,6_20,streaky,12,0.5523809523809524
emotion,9_10,pointy,1,0.5788690476190477
emotion,9_10,pointy,2,0.6107142857142858
emotion,9_10,pointy,3,0.5854166666666667
emotion,9_10,pointy,4,0.6098214285714286
emotion,9_10,pointy,5,0.6309523809523809
emotion,9_10,pointy,6,0.59375
emotion,9_10,pointy,7,0.6083333333333333
emotion,9_10,pointy,8,0.5946428571428571
emotion,9_10,pointy,9,0.5901785714285714
emotion,9_10,pointy,10,0.6288690476190476
emotion,9_10,pointy,11,0.5803571428571429
emotion,9_10,pointy,12,0.5863095238095238
emotion,9_10,streaky,1,0.6342261904761904
emotion,9_10,streaky,2,0.6223214285714286
emotion,9_10,streaky,3,0.6071428571428571
emotion,9_10,streaky,4,0.6544642857142857
emotion,9_10,streaky,5,0.6550595238095238
emotion,9_10,streaky,6,0.6110119047619048
emotion,9_10,streaky,7,0.6351190476190476
emotion,9_10,streaky,8,0.6398809523809523
emotion,9_10,streaky,9,0.6357142857142857
emotion,9_10,streaky,10,0.6410714285714286
emotion,9_10,streaky,11,0.6309523809523809
emotion,9_10,streaky,12,0.6190476190476191
locate_person,12_10,pointy,1,0.9936904761904762
locate_person,12_10,pointy,2,0.995
locate_person,12_10,pointy,3,0.9933333333333333
locate_person,12_10,pointy,4,0.9939285714285714
locate_person,12_10,pointy,5,0.9953571428571428
locate_person,12_10,pointy,6,0.9891666666666666
locate_person,12_10,pointy,7,0.9926190476190476
locate_person,12_10,pointy,8,0.9936904761904762
locate_person,12_10,pointy,9,0.9890476190476191
locate_person,12_10,pointy,10,0.9947619047619047
locate_person,12_10,pointy,11,0.9903571428571428
locate_person,12_10,pointy,12,0.9927380952380952
locate_person,12_10,streaky,1,0.9961904761904762
locate_person,12_10,streaky,2,0.9960714285714286
locate_person,12_10,streaky,3,0.9960714285714286
locate_person,12_10,streaky,4,0.9960714285714286
locate_person,12_10,streaky,5,0.9960714285714286
locate_person,12_10,streaky,6,0.9957142857142857
locate_person,12_10,streaky,7,0.9959523809523809
locate_person,12_10,streaky,8,0.9958333333333333
locate_person,12_10,streaky,9,0.9952380952380953
locate_person,12_10,streaky,10,0.9959523809523809
locate_person,12_10,streaky,11,0.9958333333333333
locate_person,12_10,streaky,12,0.9955952380952381
locate_person,12_20,pointy,1,0.9995238095238095
locate_person,12_20,pointy,2,0.9994047619047619
locate_person,12_20,pointy,3,0.9994047619047619
locate_person,12_20,pointy,4,0.9994047619047619
locate_person,12_20,pointy,5,0.9997619047619047
locate_person,12_20,pointy,6,0.9995238095238095
locate_person,12_20,pointy,7,0.9992857142857143
locate_person,12_20,pointy,8,0.9994047619047619
