architecture,optimal_sigma,task,implant_type,model_type,accuracy
ViT Base,15.797533425351403,emotion,6_15,pointy,0.5211586666666667
ViT Base,15.797533425351403,emotion,6_15,streaky,0.5533113333333334
ViT Large,13.933486775226838,emotion,12_20,pointy,0.5194313333333334
ViT Large,13.933486775226838,emotion,12_20,streaky,0.5397013333333333
ViT Large,13.933486775226838,emotion,6_15,pointy,0.5274503333333334
ViT Large,13.933486775226838,emotion,6_15,streaky,0.55382675
ViT Small,14.964890682159758,emotion,12_20,pointy,0.5226845833333332
ViT Small,14.964890682159758,emotion,12_20,streaky,0.5453733333333333
ViT Small,14.964890682159758,emotion,6_15,pointy,0.5347176666666666
ViT Small,14.964890682159758,emotion,6_15,streaky,0.5486129166666667
ConvNeXt Base,8.71232333791771,shape,12_10,pointy,0.6847063315217392
ConvNeXt Base,8.71232333791771,shape,12_10,streaky,0.6851619724137932
ConvNeXt Base,8.71232333791771,shape,12_20,pointy,0.7151215961800819
ConvNeXt Base,8.71232333791771,shape,12_20,streaky,0.6952341540577717
ConvNeXt Base,8.71232333791771,shape,6_10,pointy,0.6396168767123288
ConvNeXt Base,8.71232333791771,shape,6_10,streaky,0.6370963477088949
ConvNeXt Base,8.71232333791771,shape,6_15,pointy,0.6927869618528609
ConvNeXt Base,8.71232333791771,shape,6_15,streaky,0.6715893852459016
ConvNeXt Base,8.71232333791771,shape,6_20,pointy,0.6930975616438356
ConvNeXt Base,8.71232333791771,shape,6_20,streaky,0.6881495410292071
ConvNeXt Base,8.71232333791771,shape,9_10,pointy,0.6875720547945205
ConvNeXt Base,8.71232333791771,shape,9_10,streaky,0.6761629298486933
ConvNeXt Large,9.162686668021484,shape,12_10,pointy,0.6858264538043477
ConvNeXt Large,9.162686668021484,shape,12_10,streaky,0.6862929379310344
ConvNeXt Large,9.162686668021484,shape,12_20,pointy,0.7071703001364257
ConvNeXt Large,9.162686668021484,shape,12_20,streaky,0.6877399449793672
ConvNeXt Large,9.162686668021484,shape,6_10,pointy,0.6369376438356165
ConvNeXt Large,9.162686668021484,shape,6_10,streaky,0.6456814420485175
ConvNeXt Large,9.162686668021484,shape,6_15,pointy,0.6921691280653951
ConvNeXt Large,9.162686668021484,shape,6_15,streaky,0.667615
ConvNeXt Large,9.162686668021484,shape,6_20,pointy,0.6900339589041096
ConvNeXt Large,9.162686668021484,shape,6_20,streaky,0.6828073852573018
ConvNeXt Large,9.162686668021484,shape,9_10,pointy,0.6826688219178083
ConvNeXt Large,9.162686668021484,shape,9_10,streaky,0.6771227372764785
ConvNeXt Small,10.040139295359687,shape,12_10,pointy,0.6851511005434783
ConvNeXt Small,10.040139295359687,shape,12_10,streaky,0.6958108
ConvNeXt Small,10.040139295359687,shape,12_20,pointy,0.7148244474761254
ConvNeXt Small,10.040139295359687,shape,12_20,streaky,0.7014730811554333
ConvNeXt Small,10.040139295359687,shape,6_10,pointy,0.6548122876712329
ConvNeXt Small,10.040139295359687,shape,6_10,streaky,0.6164487601078167
ConvNeXt Small,10.040139295359687,shape,6_15,pointy,0.6971969891008174
ConvNeXt Small,10.040139295359687,shape,6_15,streaky,0.6643212295081966
ConvNeXt Small,10.040139295359687,shape,6_20,pointy,0.6982990547945205
ConvNeXt Small,10.040139295359687,shape,6_20,streaky,0.6918378442280946
ConvNeXt Small,10.040139295359687,shape,9_10,pointy,0.681634205479452
ConvNeXt Small,10.040139295359687,shape,9_10,streaky,0.6756382668500688
ConvNeXt Tiny,9.836403149600441,shape,12_10,pointy,0.6760910733695652
ConvNeXt Tiny,9.836403149600441,shape,12_10,streaky,0.7022502482758621
ConvNeXt Tiny,9.836403149600441,shape,12_20,pointy,0.7134136971350615
ConvNeXt Tiny,9.836403149600441,shape,12_20,streaky,0.69115954607978
ConvNeXt Tiny,9.836403149600441,shape,6_10,pointy,0.6529725068493151
ConvNeXt Tiny,9.836403149600441,shape,6_10,streaky,0.6459057008086253
ConvNeXt Tiny,9.836403149600441,shape,6_15,pointy,0.6874451226158038
ConvNeXt Tiny,9.836403149600441,shape,6_15,streaky,0.6623022404371584
ConvNeXt Tiny,9.836403149600441,shape,6_20,pointy,0.6885837808219178
ConvNeXt Tiny,9.836403149600441,shape,6_20,streaky,0.675411752433936
ConvNeXt Tiny,9.836403149600441,shape,9_10,pointy,0.6666675616438356
ConvNeXt Tiny,9.836403149600441,shape,9_10,streaky,0.6738669050894085
DINOv3 ViT Base,6.123942640274776,shape,12_10,pointy,0.6977800951086957
DINOv3 ViT Base,6.123942640274776,shape,12_10,streaky,0.7033290068965518
DINOv3 ViT Base,6.123942640274776,shape,12_20,pointy,0.7589993178717599
DINOv3 ViT Base,6.123942640274776,shape,12_20,streaky,0.7375861072902339
DINOv3 ViT Base,6.123942640274776,shape,6_10,pointy,0.5374236164383561
