architecture,optimal_k,task,implant_type,model_type,accuracy
ViT Small,4.531746063375872,emotion,12_20,pointy,0.5243446666666667
ViT Small,4.531746063375872,emotion,12_20,streaky,0.5525096666666667
ViT Small,4.531746063375872,emotion,6_15,pointy,0.5346994166666666
ViT Small,4.531746063375872,emotion,6_15,streaky,0.55134525
ConvNeXt Base,10.271244873008271,shape,12_10,pointy,0.6684703668478261
ConvNeXt Base,10.271244873008271,shape,12_10,streaky,0.7144149793103448
ConvNeXt Base,10.271244873008271,shape,12_20,pointy,0.8449388403819919
ConvNeXt Base,10.271244873008271,shape,12_20,streaky,0.77448045392022
ConvNeXt Base,10.271244873008271,shape,6_10,pointy,0.5471694931506849
ConvNeXt Base,10.271244873008271,shape,6_10,streaky,0.5177941374663073
ConvNeXt Base,10.271244873008271,shape,6_15,pointy,0.6962655722070844
ConvNeXt Base,10.271244873008271,shape,6_15,streaky,0.6112004918032786
ConvNeXt Base,10.271244873008271,shape,6_20,pointy,0.7397225890410959
ConvNeXt Base,10.271244873008271,shape,6_20,streaky,0.6817000139082058
ConvNeXt Base,10.271244873008271,shape,9_10,pointy,0.7126489726027397
ConvNeXt Base,10.271244873008271,shape,9_10,streaky,0.6061724209078405
ConvNeXt Large,10.018903814635653,shape,12_10,pointy,0.6619051358695652
ConvNeXt Large,10.018903814635653,shape,12_10,streaky,0.6830794068965518
ConvNeXt Large,10.018903814635653,shape,12_20,pointy,0.8607754570259208
ConvNeXt Large,10.018903814635653,shape,12_20,streaky,0.7729289958734525
ConvNeXt Large,10.018903814635653,shape,6_10,pointy,0.5370099589041095
ConvNeXt Large,10.018903814635653,shape,6_10,streaky,0.5246748652291106
ConvNeXt Large,10.018903814635653,shape,6_15,pointy,0.7142942234332426
ConvNeXt Large,10.018903814635653,shape,6_15,streaky,0.6125765710382514
ConvNeXt Large,10.018903814635653,shape,6_20,pointy,0.7093932465753424
ConvNeXt Large,10.018903814635653,shape,6_20,streaky,0.7024901390820584
ConvNeXt Large,10.018903814635653,shape,9_10,pointy,0.7106741917808218
ConvNeXt Large,10.018903814635653,shape,9_10,streaky,0.6483179917469051
ConvNeXt Small,8.60468694166717,shape,12_10,pointy,0.6327360461956523
ConvNeXt Small,8.60468694166717,shape,12_10,streaky,0.7326509103448277
ConvNeXt Small,8.60468694166717,shape,12_20,pointy,0.7429398090040927
ConvNeXt Small,8.60468694166717,shape,12_20,streaky,0.7356520495185694
ConvNeXt Small,8.60468694166717,shape,6_10,pointy,0.5907519863013698
ConvNeXt Small,8.60468694166717,shape,6_10,streaky,0.5517687466307277
ConvNeXt Small,8.60468694166717,shape,6_15,pointy,0.7082928746594006
ConvNeXt Small,8.60468694166717,shape,6_15,streaky,0.6359201092896176
ConvNeXt Small,8.60468694166717,shape,6_20,pointy,0.7445607123287671
ConvNeXt Small,8.60468694166717,shape,6_20,streaky,0.7157649095966621
ConvNeXt Small,8.60468694166717,shape,9_10,pointy,0.6905095753424658
ConvNeXt Small,8.60468694166717,shape,9_10,streaky,0.6858004814305364
ConvNeXt Tiny,8.144786345354168,shape,12_10,pointy,0.6346811005434783
ConvNeXt Tiny,8.144786345354168,shape,12_10,streaky,0.7454465931034482
ConvNeXt Tiny,8.144786345354168,shape,12_20,pointy,0.7981724010914051
ConvNeXt Tiny,8.144786345354168,shape,12_20,streaky,0.7552918569463549
ConvNeXt Tiny,8.144786345354168,shape,6_10,pointy,0.580921410958904
ConvNeXt Tiny,8.144786345354168,shape,6_10,streaky,0.5799306738544475
ConvNeXt Tiny,8.144786345354168,shape,6_15,pointy,0.6973005177111716
ConvNeXt Tiny,8.144786345354168,shape,6_15,streaky,0.6323342213114753
