task,architecture,implant_type,model_type,sigma
shape,ConvNeXt Base,12_20,streaky,0.6710097247258621
shape,ConvNeXt Base,6_10,pointy,1.231656762300092
shape,ConvNeXt Base,6_10,streaky,1.4183867240528558
shape,ConvNeXt Base,6_15,pointy,0.8391885289033015
shape,ConvNeXt Base,6_15,streaky,1.0462326602119265
shape,ConvNeXt Base,6_20,pointy,0.7373297383951716
shape,ConvNeXt Base,6_20,streaky,0.8654072045875232
shape,ConvNeXt Base,9_10,pointy,0.7850343664970657
shape,ConvNeXt Base,9_10,streaky,1.0834298228186492
shape,ConvNeXt Large,12_10,pointy,0.9881576112870009
shape,ConvNeXt Large,12_10,streaky,0.923801304956732
shape,ConvNeXt Large,12_20,pointy,0.5844251896984433
shape,ConvNeXt Large,12_20,streaky,0.710017079134234
shape,ConvNeXt Large,6_10,pointy,1.3841566948026316
shape,ConvNeXt Large,6_10,streaky,1.5201174705343972
shape,ConvNeXt Large,6_15,pointy,0.8542376611006036
shape,ConvNeXt Large,6_15,streaky,1.1080302254901448
shape,ConvNeXt Large,6_20,pointy,0.86154315541033
shape,ConvNeXt Large,6_20,streaky,0.8600180261860286
shape,ConvNeXt Large,9_10,pointy,0.8384361452256304
shape,ConvNeXt Large,9_10,streaky,1.0060670975718893
shape,ConvNeXt Small,12_10,pointy,1.391187379374272
shape,ConvNeXt Small,12_10,streaky,1.0425962899747498
shape,ConvNeXt Small,12_20,pointy,1.072948845500457
shape,ConvNeXt Small,12_20,streaky,1.0521822257520728
shape,ConvNeXt Small,6_10,pointy,1.4834330836689968
shape,ConvNeXt Small,6_10,streaky,1.5306783166894506
shape,ConvNeXt Small,6_15,pointy,1.1273996050791282
shape,ConvNeXt Small,6_15,streaky,1.2867917803472644
shape,ConvNeXt Small,6_20,pointy,1.0147491567333917
shape,ConvNeXt Small,6_20,streaky,1.0826498082459206
shape,ConvNeXt Small,9_10,pointy,1.1341151081254497
shape,ConvNeXt Small,9_10,streaky,1.1296665376282358
shape,ConvNeXt Tiny,12_10,pointy,1.38937920219234
shape,ConvNeXt Tiny,12_10,streaky,1.059284280476216
shape,ConvNeXt Tiny,12_20,pointy,0.9417121640272966
shape,ConvNeXt Tiny,12_20,streaky,0.9942750825803813
shape,ConvNeXt Tiny,6_10,pointy,1.5882184249296085
shape,ConvNeXt Tiny,6_10,streaky,1.5570619828995909
shape,ConvNeXt Tiny,6_15,pointy,1.1707900932843025
shape,ConvNeXt Tiny,6_15,streaky,1.339653277511326
shape,ConvNeXt Tiny,6_20,pointy,1.076013151748776
shape,ConvNeXt Tiny,6_20,streaky,1.1653267527352336
shape,ConvNeXt Tiny,9_10,pointy,1.3396197506259166
shape,ConvNeXt Tiny,9_10,streaky,1.2351335447551939
shape,DINOv3 ViT Base,12_10,pointy,1.2935042608510425
shape,DINOv3 ViT Base,12_10,streaky,1.0099278645929475
shape,DINOv3 ViT Base,12_20,pointy,0.2921347758609582
shape,DINOv3 ViT Base,12_20,streaky,0.3994824531344719
shape,DINOv3 ViT Base,6_10,pointy,1.979596171747535
shape,DINOv3 ViT Base,6_10,streaky,1.5526762836893064
shape,DINOv3 ViT Base,6_15,pointy,1.3749837534280835
shape,DINOv3 ViT Base,6_15,streaky,0.811840427300864
