task,implant_type,model_type,architecture,method,run,accuracy,chance,accuracy_above_chance
doorway,6_20,streaky,ViT Small,full_model,3,1.0,0.5,1.0
doorway,6_20,streaky,ViT Small,full_model,4,1.0,0.5,1.0
doorway,6_20,streaky,ViT Small,full_model,5,1.0,0.5,1.0
doorway,6_20,streaky,ViT Small,full_model,6,1.0,0.5,1.0
doorway,6_20,streaky,ViT Small,full_model,7,1.0,0.5,1.0
doorway,6_20,streaky,ViT Small,full_model,8,1.0,0.5,1.0
doorway,6_20,streaky,ViT Small,full_model,9,1.0,0.5,1.0
doorway,6_20,streaky,ViT Small,full_model,10,1.0,0.5,1.0
doorway,6_20,streaky,ViT Small,head_model,1,1.0,0.5,1.0
doorway,6_20,streaky,ViT Small,head_model,2,1.0,0.5,1.0
doorway,6_20,streaky,ViT Small,head_model,3,1.0,0.5,1.0
doorway,6_20,streaky,ViT Small,head_model,4,1.0,0.5,1.0
doorway,6_20,streaky,ViT Small,head_model,5,1.0,0.5,1.0
doorway,6_20,streaky,ViT Small,head_model,6,1.0,0.5,1.0
doorway,6_20,streaky,ViT Small,head_model,7,1.0,0.5,1.0
doorway,6_20,streaky,ViT Small,head_model,8,1.0,0.5,1.0
doorway,6_20,streaky,ViT Small,head_model,9,1.0,0.5,1.0
doorway,6_20,streaky,ViT Small,head_model,10,1.0,0.5,1.0
doorway,9_10,pointy,ConvNeXt Base,full_model,1,1.0,0.5,1.0
doorway,9_10,pointy,ConvNeXt Base,full_model,2,1.0,0.5,1.0
doorway,9_10,pointy,ConvNeXt Base,full_model,3,1.0,0.5,1.0
doorway,9_10,pointy,ConvNeXt Base,full_model,4,1.0,0.5,1.0
doorway,9_10,pointy,ConvNeXt Base,full_model,5,1.0,0.5,1.0
doorway,9_10,pointy,ConvNeXt Base,full_model,6,1.0,0.5,1.0
doorway,9_10,pointy,ConvNeXt Base,full_model,7,1.0,0.5,1.0
doorway,9_10,pointy,ConvNeXt Base,full_model,8,1.0,0.5,1.0
doorway,9_10,pointy,ConvNeXt Base,full_model,9,1.0,0.5,1.0
doorway,9_10,pointy,ConvNeXt Base,full_model,10,1.0,0.5,1.0
doorway,9_10,pointy,ConvNeXt Base,head_model,1,0.9201388888888888,0.5,0.8402777777777777
doorway,9_10,pointy,ConvNeXt Base,head_model,2,0.9201388888888888,0.5,0.8402777777777777
doorway,9_10,pointy,ConvNeXt Base,head_model,3,0.8958333333333334,0.5,0.7916666666666667
doorway,9_10,pointy,ConvNeXt Base,head_model,4,0.8993055555555556,0.5,0.7986111111111112
doorway,9_10,pointy,ConvNeXt Base,head_model,5,0.90625,0.5,0.8125
doorway,9_10,pointy,ConvNeXt Base,head_model,6,0.9166666666666666,0.5,0.8333333333333333
doorway,9_10,pointy,ConvNeXt Base,head_model,7,0.8888888888888888,0.5,0.7777777777777777
doorway,9_10,pointy,ConvNeXt Base,head_model,8,0.9201388888888888,0.5,0.8402777777777777
doorway,9_10,pointy,ConvNeXt Base,head_model,9,0.9270833333333334,0.5,0.8541666666666667
doorway,9_10,pointy,ConvNeXt Base,head_model,10,0.9270833333333334,0.5,0.8541666666666667
doorway,9_10,pointy,ConvNeXt Large,full_model,1,1.0,0.5,1.0
doorway,9_10,pointy,ConvNeXt Large,full_model,2,1.0,0.5,1.0
doorway,9_10,pointy,ConvNeXt Large,full_model,3,1.0,0.5,1.0
doorway,9_10,pointy,ConvNeXt Large,full_model,4,1.0,0.5,1.0
doorway,9_10,pointy,ConvNeXt Large,full_model,5,1.0,0.5,1.0
doorway,9_10,pointy,ConvNeXt Large,full_model,6,1.0,0.5,1.0
doorway,9_10,pointy,ConvNeXt Large,full_model,7,1.0,0.5,1.0
doorway,9_10,pointy,ConvNeXt Large,full_model,8,1.0,0.5,1.0
doorway,9_10,pointy,ConvNeXt Large,full_model,9,1.0,0.5,1.0
doorway,9_10,pointy,ConvNeXt Large,full_model,10,1.0,0.5,1.0
doorway,9_10,pointy,ConvNeXt Large,head_model,1,0.9444444444444444,0.5,0.8888888888888888
doorway,9_10,pointy,ConvNeXt Large,head_model,2,0.9479166666666666,0.5,0.8958333333333333
doorway,9_10,pointy,ConvNeXt Large,head_model,3,0.9305555555555556,0.5,0.8611111111111112
doorway,9_10,pointy,ConvNeXt Large,head_model,4,0.9340277777777778,0.5,0.8680555555555556
doorway,9_10,pointy,ConvNeXt Large,head_model,5,0.9479166666666666,0.5,0.8958333333333333
doorway,9_10,pointy,ConvNeXt Large,head_model,6,0.9444444444444444,0.5,0.8888888888888888
doorway,9_10,pointy,ConvNeXt Large,head_model,7,0.9236111111111112,0.5,0.8472222222222223
doorway,9_10,pointy,ConvNeXt Large,head_model,8,0.9409722222222222,0.5,0.8819444444444444
doorway,9_10,pointy,ConvNeXt Large,head_model,9,0.9340277777777778,0.5,0.8680555555555556
doorway,9_10,pointy,ConvNeXt Large,head_model,10,0.9201388888888888,0.5,0.8402777777777777
doorway,9_10,pointy,ConvNeXt Small,full_model,1,1.0,0.5,1.0
doorway,9_10,pointy,ConvNeXt Small,full_model,2,1.0,0.5,1.0
doorway,9_10,pointy,ConvNeXt Small,full_model,3,1.0,0.5,1.0
doorway,9_10,pointy,ConvNeXt Small,full_model,4,1.0,0.5,1.0
doorway,9_10,pointy,ConvNeXt Small,full_model,5,1.0,0.5,1.0
doorway,9_10,pointy,ConvNeXt Small,full_model,6,1.0,0.5,1.0
doorway,9_10,pointy,ConvNeXt Small,full_model,7,1.0,0.5,1.0
doorway,9_10,pointy,ConvNeXt Small,full_model,8,1.0,0.5,1.0
doorway,9_10,pointy,ConvNeXt Small,full_model,9,1.0,0.5,1.0
doorway,9_10,pointy,ConvNeXt Small,full_model,10,1.0,0.5,1.0
doorway,9_10,pointy,ConvNeXt Small,head_model,1,0.9548611111111112,0.5,0.9097222222222223
doorway,9_10,pointy,ConvNeXt Small,head_model,2,0.9583333333333334,0.5,0.9166666666666667
doorway,9_10,pointy,ConvNeXt Small,head_model,3,0.9548611111111112,0.5,0.9097222222222223
doorway,9_10,pointy,ConvNeXt Small,head_model,4,0.9583333333333334,0.5,0.9166666666666667
doorway,9_10,pointy,ConvNeXt Small,head_model,5,0.9548611111111112,0.5,0.9097222222222223
doorway,9_10,pointy,ConvNeXt Small,head_model,6,0.9583333333333334,0.5,0.9166666666666667
doorway,9_10,pointy,ConvNeXt Small,head_model,7,0.9513888888888888,0.5,0.9027777777777777
doorway,9_10,pointy,ConvNeXt Small,head_model,8,0.9375,0.5,0.875
doorway,9_10,pointy,ConvNeXt Small,head_model,9,0.9583333333333334,0.5,0.9166666666666667
doorway,9_10,pointy,ConvNeXt Small,head_model,10,0.9583333333333334,0.5,0.9166666666666667
doorway,9_10,pointy,ConvNeXt Tiny,full_model,1,1.0,0.5,1.0
doorway,9_10,pointy,ConvNeXt Tiny,full_model,2,1.0,0.5,1.0
doorway,9_10,pointy,ConvNeXt Tiny,full_model,3,1.0,0.5,1.0
doorway,9_10,pointy,ConvNeXt Tiny,full_model,4,1.0,0.5,1.0
doorway,9_10,pointy,ConvNeXt Tiny,full_model,5,1.0,0.5,1.0
doorway,9_10,pointy,ConvNeXt Tiny,full_model,6,1.0,0.5,1.0
doorway,9_10,pointy,ConvNeXt Tiny,full_model,7,1.0,0.5,1.0
doorway,9_10,pointy,ConvNeXt Tiny,full_model,8,1.0,0.5,1.0
doorway,9_10,pointy,ConvNeXt Tiny,full_model,9,1.0,0.5,1.0
